service_number,state,municipality,longitude,latitude,household_size,tarif,initial_date,end_date,total_bill,subsidy_bill,consumption_kwh,tax_iva,cost_supply,cost_distribution,cost_transmission,cost_cenace,cost_energy,cost_capacity,cost_market,cost_dap
77211104603,Querétaro,El Marqués,-100.3183319,20.68208101,5,1,12-22-2021,2-21-2021,645.00 ,212.94,108.88,13.93 ,56.66 ,114.60 ,16.93 ,0.82 ,87.05 ,43.37 ,0.57 , 0   
77211104603,Querétaro,El Marqués,-100.3183319,20.68208101,5,1,2-21-2021,4-18-2021,582.00 ,192.14,98.25,12.57 ,51.13 ,103.40 ,15.28 ,0.74 ,78.55 ,39.13 ,0.51 , 0  
77211104603,Querétaro,El Marqués,-100.3183319,20.68208101,5,1,4-18-2021,6-18-2021,532.00 ,175.64,89.81,11.49 ,46.73 ,94.52 ,13.97 ,0.68 ,71.80 ,35.77 ,0.47 , 0   
77211104603,Querétaro,El Marqués,-100.3183319,20.68208101,5,1,6-18-2021,8-19-2021,602.00 ,198.75,101.62,13.00 ,52.88 ,106.96 ,15.80 ,0.76 ,81.25 ,40.48 ,0.53 , 0   
77211104603,Querétaro,El Marqués,-100.3183319,20.68208101,5,1,8-19-2021,10-18-2021,545.00 ,179.93,92,11.77 ,49.88 ,96.83 ,14.31 ,0.69 ,73.56 ,36.64 ,0.48 , 0   
77211104603,Querétaro,El Marqués,-100.3183319,20.68208101,5,1,10-18-2021,12-23-2021,622.00 ,205.35,105,13.43 ,55.64 ,111.51 ,16.33 ,0.79 ,83.95 ,41.82 ,0.55 , 0  
